LANDING_TITLETEXT	Dax contra los Gremlins
LANDING_DESCRIPTIONTEXT	Aprende a definir"" "" objetivos y mantenerte enfocado.
LANDING_TIMEESTIMATETEXT	20 to 30 minutes
LANDING_GATES_0_TITLETEXT	Para desbloquear esta misión:
LANDING_GATES_0_DESCRIPTIONTEXT	Agrega por lo menos 1 objetivo a tu perfil.
LANDING_GATES_0_DESCRIPTIONALTTEXT	Agrega por lo menos 1 objetivo a tu perfil.
LANDING_GATES_0_CTATEXT	Agregar objetivos
LANDING_CTATEXT	¡Vamos!
ACTIVITIES_0_TITLETEXT	Cómo definir objetivos
ACTIVITIES_0_EXERCISES_0_TITLETEXT	Cómo definir objetivos
ACTIVITIES_0_EXERCISES_0_SUBTITLETEXT	Mira cómo Dax aprende a definir objetivos.
ACTIVITIES_0_EXERCISES_0_CONFIG_COMPLETETITLETEXT	Cómo definir objetivos
ACTIVITIES_0_EXERCISES_0_CONFIG_COMPLETESUBTITLETEXT	Mira cómo Dax aprende a definir objetivos.
ACTIVITIES_0_EXERCISES_1_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	“Horrorizados, vieron que el manillar de la puerta lentamente comenzó a girar...” <hr/>¡BIP! ¡BIP! ¡BIP! El sonido del cronómetro de Dax trinó e interrumpió su relato. <hr/>“¡Debo irme!”. Dax se alejó de inmediato corriendo hacia el parque. Marsh y Pep se quedaron sentados en el banco, mirándola, confundidos por su partida repentina.
ACTIVITIES_0_EXERCISES_1_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	“¿Cuál es el apuro?”. Preguntó por fin Marsh, molesto por el final abrupto de la historia de terror. <hr/>“¡Práctica de volteretas laterales!”, recordó Pep. “Dax está intentando aprender a hacer la voltereta lateral perfecta”. <hr/>Pep sabía lo entusiasmada que estaba Dax por competir en los Juegos Olímpicos algún día. “Aprender la habilidad de hacer volteretas laterales es fundamental para un gimnasta. Por ello, es un objetivo muy importante”.
ACTIVITIES_0_EXERCISES_2_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	De repente, Pep se sobresaltó y apuntó en la dirección de Dax. “¿Ves eso? ¡Creo que alguien sigue a Dax!”. <hr/>Marsh se encogió de hombros. “A mí me parece que son solo nubes de polvo”. <hr/>Pero la perspectiva de Pep era más acertada. ""Limpia tus anteojos, Marsh. ¡Es una cuadrilla de gremlins frustraobjetivos!”.
ACTIVITIES_0_EXERCISES_2_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	Marsh miró con incredulidad a Pep. “Gremlins frustraobjetivos? Una cuadrilla? Explícate, por favor”. <hr/>Pep contó a Marsh que los gremlins frustraobjetivos son embusteros que buscan desmotivar a quienes quieren cumplir un objetivo. Pueden adquirir muchas formas y son difíciles de identificar. Pero cuando los identifican pierden mucho poder.
ACTIVITIES_0_EXERCISES_3_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	Pep sospechó que el primero de los gremlins que perseguían a Dax debía ser <b>Embrollón</b>. <hr/>“A este gremlin le gusta atacar temprano, cuando un objetivo comienza a definirse”, explicó Pep. “Intenta evitar que fijes un objetivo claro. Es ruin y hace que un objetivo parezca indefinido y difícil de lograr”. <hr/>“¡Cielos!”, susurró Marsh, preocupado por Dax.
ACTIVITIES_0_EXERCISES_3_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	“Otro de ellos es <b>Distractor</b>”, prosiguió Pep. “Su táctica consiste en apartarte de tu objetivo”. <hr/>“Este gremlin intentará tentarte con toda clase de distracciones”. <hr/>“¡Astuto!”, chilló Marsh.
ACTIVITIES_0_EXERCISES_4_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	“<b>Vendaval de Excusas</b> es el gremlin más indeseable”, continuó Pep.  “Puede atacarte con toda clase de motivos por los que no podrás alcanzar tu objetivo”. <hr/>“El propósito de este gremlin es frustrarte. Lo que es peor... puede socavar tu autoestima”. <hr/>“¡Irritante!”, murmuró Marsh.
ACTIVITIES_0_EXERCISES_4_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	“Otro gremlin del que debes cuidarte es <b>Procrastinador</b>”, agregó Pep. “¿Procrastiquée?”, preguntó Marsh. <hr/>Pep describió a un gremlin taimado y encantador que busca convencer a quienes tienen objetivos de que les sobra el tiempo. <hr/>“¡Intentará hacer que pospongas los esfuerzos para alcanzar tu objetivo!”, advirtió Pep.
ACTIVITIES_0_EXERCISES_5_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	“Por último, tenemos al gremlin más escalofriante de todos: <b>Vampiro</b>”, Pep susurró. <hr/>“Santo cielo”, gimoteó Marsh. <hr/>“No bebe sangre”, dijo Pep rápidamente. “Pero Vampiro intenta succionar tu motivación para alcanzar el objetivo. Su propósito es lograr que dejes de pensar en las razones por las que tu objetivo es importante”.
ACTIVITIES_0_EXERCISES_5_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	“Pep, no podemos dejar que estos gremlins acaben con el objetivo de Dax. ¡De lo contrario, nunca se cumplirá su sueño olímpico!”. Comentó Marsh, mientras partieron al encuentro de su amigo. <hr/>Para el momento en que llegaron a donde se hallaba Dax, estaba rodeada. “Esto es más serio de lo que creía”, dijo Pep. “Tan importante es para Dax su objetivo que la codicia de estos gremlins se ha potenciado”.  <hr/>“¡Valor!”, gritó Marsh. “¡Es hora de comenzar a cazar gremlins!”.
ACTIVITIES_1_LANDING_TITLETEXT	Objetivos bien claros
ACTIVITIES_1_LANDING_CONFIG_SPEECHBUBBLE_0_BUBBLETEXT	Es extraño... Sé que quiero ser gimnasta, ¿pero por dónde comienzo?
ACTIVITIES_1_LANDING_CONFIG_SPEECHBUBBLE_1_BUBBLETEXT	Es extraño... Sé que quiero ser gimnasta, ¿pero por dónde comienzo?
ACTIVITIES_1_LANDING_CONFIG_SPEECHBUBBLE_2_BUBBLETEXT	¡Están embrollando a Dax! Ayuda a aclarar todo.
ACTIVITIES_1_LANDING_CONFIG_SPEECHBUBBLE_3_BUBBLETEXT	¡Están embrollando a Dax! Ayuda a aclarar todo.
ACTIVITIES_1_LANDING_DESCRIPTIONTEXT	Identifica lo que necesitas para definir un objetivo.
ACTIVITIES_1_LANDING_DESCRIPTIONALTTEXT	Identifica lo que necesitas para definir un objetivo.
ACTIVITIES_1_LANDING_CTATEXT	Iniciar actividad
ACTIVITIES_1_HUB_TITLETEXT	¡Cuidado, Embrollón está desplegando sus poderes sobre Dax!
ACTIVITIES_1_HUB_DESCRIPTIONTEXT	Detén a gremlin antes de que complique su objetivo.
ACTIVITIES_1_HUB_ACTIVITIES_0_TITLETEXT	Objetivos y gremlins
ACTIVITIES_1_HUB_ACTIVITIES_1_TITLETEXT	Objetivos bien claros
ACTIVITIES_1_HUB_ACTIVITIES_2_TITLETEXT	Combatir contra los gremlins
ACTIVITIES_1_HUB_ACTIVITIES_3_TITLETEXT	Observar objetivos
ACTIVITIES_1_HUB_ACTIVITIES_4_TITLETEXT	Objetivos soñados
